,Endereco,LATITUDE,LONGITUDE
0,"rua davi xavier da silva, CIDADE INDUSTRIAL, Curitiba",-25.5061668,-49.32477739999999
1,"rua  carlos klemtz, FAZENDINHA, Curitiba",-25.4763452,-49.32130249999999
2,"rua doutor joão de paula moura brito, UBERABA, Curitiba",-25.4813613,-49.2288666
3,"rua edgard cavalcanti de albuquerque, SÍTIO CERCADO, Curitiba",-25.5403967,-49.255643
4,"rua  carlos munhoz da rocha, TATUQUARA, Curitiba",-25.565375,-49.3375249
5,"rua hussein ibrahim omairy, SÍTIO CERCADO, Curitiba",-25.5536787,-49.259569
6,"rua  nova de colombo, SANTA CÂNDIDA, Curitiba",-25.3687164,-49.2202332
7,"rua  carlos essenfelder, BOQUEIRÃO, Curitiba",-25.4993345,-49.2303143
8,"rua presidente faria, CENTRO, Curitiba",-25.4273866,-49.2685354
9,"rua santa edwiges, BOA VISTA, Curitiba",-25.3564835,-49.2738858
10,"rua  oswaldo maciel, TABOÃO, Curitiba",-25.3783556,-49.2813412
11,"rua tobias de macedo, CENTRO, Curitiba",-25.4272583,-49.3292898
12,"rua tiradentes, CENTRO, Curitiba",-25.4297003,-49.2714254
13,"rua maria homan wisniewski, CIDADE INDUSTRIAL, Curitiba",-25.4547996,-49.3506827
14,"rua 1 de maio, XAXIM, Curitiba",-25.5138195,-49.2783394
15,"rua  olindo caetani, UBERABA, Curitiba",-25.4879663,-49.2015464
16,"rua  fredolin wolf, PILARZINHO, Curitiba",-25.3847796,-49.3090743
17,"rua rockefeller, REBOUÇAS, Curitiba",-25.444576,-49.2624885
18,"rua  água verde, ÁGUA VERDE, Curitiba",-25.4530706,-49.2779229
19,"rua  josé tissi, CIDADE INDUSTRIAL, Curitiba",-25.4359992,-49.35024540000001
20,"rua  marechal floriano peixoto, BOQUEIRÃO, Curitiba",-25.5057767,-49.2353257
21,"rua silva jardim, BATEL, Curitiba",-25.4461985,-49.2848727
22,"rua daniel petersen, FAZENDINHA, Curitiba",-25.485284,-49.33971469999999
23,"rua  brasilia, NOVO MUNDO, Curitiba",-25.494606,-49.2838158
24,"rua setembrino portella neto, CIDADE INDUSTRIAL, Curitiba",-25.4981906,-49.3446177
25,"rua expedicionário estanislau wojcik, ALTO BOQUEIRÃO, Curitiba",-25.5358716,-49.2433378
26,"rua jose rodrigues pinheiro, CIDADE INDUSTRIAL, Curitiba",-25.5146831,-49.3138984
27,"rua pinheirinho, CAPÃO RASO, Curitiba",-25.51383,-49.2955154
28,"rua  theophilo mansur, NOVO MUNDO, Curitiba",-25.4926263,-49.3083997
29,"rua estanislau kucek, CIDADE INDUSTRIAL, Curitiba",-25.5019449,-49.3371703
30,"rua plínio tourinho, JARDIM BOTÂNICO, Curitiba",-25.4405407,-49.25487469999999
31,"rua rosa carvalho chaves, NOVO MUNDO, Curitiba",-25.488419,-49.2781019
32,"rua doutor alfredo vieira barcelos, UBERABA, Curitiba",-25.4707132,-49.230385
33,"rua  república argentina, PORTÃO, Curitiba",-25.4728714,-49.2943385
34,"rua  rui barbosa, CENTRO, Curitiba",-25.436289,-49.2738464
35,"rua canal belém, ORLEANS, Curitiba",-25.4854914,-49.2346413
36,"rua silva jardim, REBOUÇAS, Curitiba",-25.4451616,-49.28210809999999
37,"rua gago coutinho, BOA VISTA, Curitiba",-25.3989273,-49.2417919
38,"rua padre tiago alberione, SANTA FELICIDADE, Curitiba",-25.403536,-49.3157296
39,"rua general adalberto massa, SÍTIO CERCADO, Curitiba",-25.5516959,-49.2461879
40,"rua tobias de macedo, CASCATINHA, Curitiba",-25.4272583,-49.3292898
41,"rua alfredo bufren, CENTRO, Curitiba",-25.4286136,-49.2674689
42,"rua presidente affonso camargo, CAPÃO DA IMBUIA, Curitiba",-25.4416829,-49.2175273
43,"rua lodovico geronazzo, BARREIRINHA, Curitiba",-25.3816011,-49.2525886
44,"rua  léa moreira de souza moura, CIDADE INDUSTRIAL, Curitiba",-25.5111147,-49.32572
45,"rua  paraná, SANTA CÂNDIDA, Curitiba",-25.3798738,-49.2281309
46,"rua  lodovico kaminski, CIDADE INDUSTRIAL, Curitiba",-25.4755627,-49.3590222
47,"rua nossa senhora de nazare, BOA VISTA, Curitiba",-25.3898883,-49.2449844
48,"rua nestor de castro, JARDIM BOTÂNICO, Curitiba",-25.4283558,-49.2727099
49,"rua são francisco, CENTRO, Curitiba",-25.4280348,-49.2704056
50,"rua joão budel, SANTA FELICIDADE, Curitiba",-25.389011,-49.3572141
51,"rua beato pedro donders, CIDADE INDUSTRIAL, Curitiba",-25.5304798,-49.3380445
52,"rua carlos munhoz da rocha, TATUQUARA, Curitiba",-25.565375,-49.3375249
53,"rua jorge wendler, XAXIM, Curitiba",-25.5080412,-49.2588082
54,"rua andre prado, CIDADE INDUSTRIAL, Curitiba",-25.5325556,-49.3366785
55,"rua ricardo emílio michel, CIDADE INDUSTRIAL, Curitiba",-25.4922776,-49.3409157
56,"rua henrique josé sikorski, SEMINÁRIO, Curitiba",-25.4485115,-49.3131299
57,"rua angelina ansai, FAZENDINHA, Curitiba",-25.4797031,-49.3216957
58,"rua nova aurora, SÍTIO CERCADO, Curitiba",-25.5443524,-49.2640623
59,"rua amadeu piotto, CAMPO COMPRIDO, Curitiba",-25.4344515,-49.3569265
60,"rua município de campo novo, CIDADE INDUSTRIAL, Curitiba",-25.4722755,-49.3492142
61,"rua joão nicoletti daros, XAXIM, Curitiba",-25.5058855,-49.2774492
62,"rua adir josé frason, CAMPO COMPRIDO, Curitiba",-25.4353363,-49.3630672
63,"rua raul pompeia, CIDADE INDUSTRIAL, Curitiba",-25.4806276,-49.3429399
64,"rua joão casagrande, CIDADE INDUSTRIAL, Curitiba",-25.4615343,-49.3486312
65,"rua desembargador cid campelo, CIDADE INDUSTRIAL, Curitiba",-25.49842,-49.337959
66,"rua pedro sebastião medeiros, ALTO BOQUEIRÃO, Curitiba",-25.52734,-49.24335319999999
67,"rua luis casa grande, CIDADE INDUSTRIAL, Curitiba",-25.463106,-49.3492714
68,"rua haydée pereira do nascimento, NOVO MUNDO, Curitiba",-25.4851566,-49.3071379
69,"rua iris antonio campos, CAMPO COMPRIDO, Curitiba",-25.46567,-49.3223958
70,"rua república argentina, PORTÃO, Curitiba",-25.4728714,-49.2943385
71,"rua marquês de barbacena, CIDADE INDUSTRIAL, Curitiba",-25.4810339,-49.3480224
72,"rua professor theodócio jorge atherino, BOQUEIRÃO, Curitiba",-25.4775147,-49.3413756
73,"rua doutor bley zornig, BOQUEIRÃO, Curitiba",-25.5131678,-49.22919539999999
74,"rua laranjeiras do sul, ALTO BOQUEIRÃO, Curitiba",-25.52721,-49.234025
75,"rua alvares de azevedo, CIDADE INDUSTRIAL, Curitiba",-25.4817657,-49.348043
76,"rua josé batista dos santos, CIDADE INDUSTRIAL, Curitiba",-25.4799406,-49.3439543
77,"rua das torres, TATUQUARA, Curitiba",-25.5647384,-49.3282697
78,"rua laranjeiras do sul, BOQUEIRÃO, Curitiba",-25.52721,-49.234025
79,"rua manoel ribas, CASCATINHA, Curitiba",-25.4137614,-49.3117505
80,"rua comendador araújo, CENTRO, Curitiba",-25.4370356,-49.2803024
81,"rua antonio vieira borges, REBOUÇAS, Curitiba",-25.4429538,-49.25237260000001
82,"rua reinaldo strobel, CIDADE INDUSTRIAL, Curitiba",-25.48512,-49.3545069
83,"rua pastor manoel virgínio de souza, CAPÃO DA IMBUIA, Curitiba",-25.4363383,-49.2106874
84,"rua guabirotuba, PRADO VELHO, Curitiba",-25.4479094,-49.2527137
85,"rua rogerio pereira de camargo, CAMPO COMPRIDO, Curitiba",-25.4441213,-49.3552498
86,"rua engenheiro alberto monteiro de carvalho, CAPÃO DA IMBUIA, Curitiba",-25.4359762,-49.2114722
87,"rua brigadeiro arthur carlos peralta, BOA VISTA, Curitiba",-25.3859715,-49.2489825
88,"rua marechal floriano peixoto, REBOUÇAS, Curitiba",-25.4454801,-49.2648526
89,"rua pinheiro machado, FAZENDINHA, Curitiba",-25.4864749,-49.3311915
90,"rua elias casseb, TATUQUARA, Curitiba",-25.5616529,-49.33264459999999
91,"rua elias casseb, PINHEIRINHO, Curitiba",-25.5616529,-49.33264459999999
92,"rua hiato shimori, BOQUEIRÃO, Curitiba",-25.5030083,-49.2367172
93,"rua arthur martins franco, PORTÃO, Curitiba",-25.4962233,-49.33521289999999
94,"rua joão batista dos santos, CIDADE INDUSTRIAL, Curitiba",-25.4936221,-49.3504437
95,"rua garuva, CIDADE INDUSTRIAL, Curitiba",-25.4770185,-49.3411638
96,"rua coronel pedro scherer sobrinho, CAPÃO DA IMBUIA, Curitiba",-25.4359731,-49.2399987
97,"rua assis brasil, BARREIRINHA, Curitiba",-25.3692062,-49.2645258
98,"rua são bento, JARDIM BOTÂNICO, Curitiba",-25.479431,-49.25371860000001
99,"rua mário bueno sobrinho, UBERABA, Curitiba",-25.4719985,-49.2254695
100,"rua vicente machado, CENTRO, Curitiba",-25.4350783,-49.28153
101,"rua aristides tissot, CIDADE INDUSTRIAL, Curitiba",-25.4762364,-49.33486809999999
102,"rua herculano de araujo filho, CIDADE INDUSTRIAL, Curitiba",-25.5280708,-49.3368429
103,"rua silvio da maia moreira, UBERABA, Curitiba",-25.4924379,-49.2257668
104,"rua alton tchekow, PINHEIRINHO, Curitiba",38.8906038,-90.1842764
105,"rua curitiba ponta grossa br-277, ORLEANS, Curitiba",-25.103103,-50.1537446
106,"rua quadra 10, TATUQUARA, Curitiba",-25.5647384,-49.3282697
107,"rua leocádio moskaleviski lacerda, SÍTIO CERCADO, Curitiba",-25.5504565,-49.2455028
108,"rua tenente coronel benjamin lage, UBERABA, Curitiba",-25.4985509,-49.2185304
109,"rua doutor bley zornig, BUTIATUVINHA, Curitiba",-25.5129372,-49.2286043
