,Endereco,LATITUDE,LONGITUDE
11552,"rua arcésio guimarães, JARDIM SOCIAL, Curitiba",-25.4211776,-49.2328814
11553,"rua alferes angelo sampaio, CENTRO, Curitiba",-25.439575,-49.2851219
11554,"rua r. hélio dirceu woitikiw, PINHEIRINHO, Curitiba",-25.5225782,-49.2925633
11555,"rua r. reverendo jahyr dittrich, SÍTIO CERCADO, Curitiba",-25.5518329,-49.2691194
11556,"rua francisco nunes, BOQUEIRÃO, Curitiba",-25.4502776,-49.25535929999999
11557,"rua afonso arinos, CAJURU, Curitiba",-25.4374673,-49.2163015
11558,"rua henrique da cunha mello, CAJURU, Curitiba",-25.4052206,-49.3240643
11559,"rua cidade de goioere, ALTO BOQUEIRÃO, Curitiba",-25.5442069,-49.2427228
11560,"rua carlos de laet, UBERABA, Curitiba",-25.4962022,-49.2360925
11561,"rua adelina dutra sanson, CIDADE INDUSTRIAL, Curitiba",-25.5028169,-49.34385630000001
11562,"rua salgado filho, CAJURU, Curitiba",-25.4798779,-49.22502919999999
11563,"rua joão maximiliano baroni, PILARZINHO, Curitiba",-25.3800264,-49.2944126
11564,"rua zozino pinheiro, CIDADE INDUSTRIAL, Curitiba",-25.4882294,-49.3472046
11565,"rua afonso botelho, BATEL, Curitiba",-25.4462024,-49.2751543
11566,"rua sérgio verges, VILA IZABEL, Curitiba",-25.4577686,-49.294653
11567,"rua jornalista divonira torres kudri, JARDIM BOTÂNICO, Curitiba",-25.4362194,-49.2495153
11568,"rua luiz gaspari, PAROLIN, Curitiba",-25.470018,-49.2595082
11569,"rua pedro de campos freire, CAMPO COMPRIDO, Curitiba",-25.4698599,-49.3229857
11570,"rua amália túlio costa, SANTA FELICIDADE, Curitiba",-25.4012794,-49.317663
11571,"rua domingas nicco, MOSSUNGUÊ, Curitiba",-25.4364185,-49.3369074
11572,"rua tenente josé ribas kendrick, CAJURU, Curitiba",-25.4751556,-49.2030671
11573,"rua simão bolívar, ALTO DA GLÓRIA, Curitiba",-25.4195579,-49.2572091
11574,"rua coronel agostinho macedo, BOM RETIRO, Curitiba",-25.4156081,-49.2721451
11575,"rua princesa izabel, BATEL, Curitiba",-25.4347619,-49.2951452
11576,"rua br-476, CAJURU, Curitiba",-21.2755425,-47.30135320000001
11577,"rua república argentina, GUABIROTUBA, Curitiba",-25.4621596,-49.2442814
11578,"rua ernesto guariza, JARDIM DAS AMÉRICAS, Curitiba",-25.459579,-49.2375615
11579,"rua do viamão, GUABIROTUBA, Curitiba",-25.4652703,-49.241225
11580,"rua josé de souza, ATUBA, Curitiba",-25.3842545,-49.1996712
11581,"rua república argentina, CIDADE INDUSTRIAL, Curitiba",-25.5040295,-49.3297882
11582,"rua presidente faria, CENTRO CÍVICO, Curitiba",-25.4273866,-49.2685354
11583,"rua sebastião braganholo, SANTA FELICIDADE, Curitiba",-25.4002615,-49.3405824
11584,"rua albino evaldo muller, AUGUSTA, Curitiba",-25.4568154,-49.3811296
11585,"rua rossana mansur de macedo, CAPÃO DA IMBUIA, Curitiba",-25.431932,-49.2092442
11586,"rua expedicionario francisco pereira dos santos, ALTO BOQUEIRÃO, Curitiba",-25.5383015,-49.2484749
11587,"rua vicente michelotto, CENTRO CÍVICO, Curitiba",-25.5229471,-49.3329999
11588,"rua joão batista ribeiro, CENTRO, Curitiba",-25.4382495,-49.2501684
11589,"rua itambé, SÍTIO CERCADO, Curitiba",-25.5554779,-49.25448859999999
11590,"rua luiz miguel fanchin, SEMINÁRIO, Curitiba",-25.4437622,-49.3130351
11591,"rua br-476, UBERABA, Curitiba",-19.7473668,-47.93915399999999
11592,"rua jose gelbcke, UBERABA, Curitiba",-25.4862976,-49.2019633
11593,"rua eduardo jarnicki, SÃO BRAZ, Curitiba",-25.4155001,-49.3593007
11594,"rua mínero bittencourt, CAMPO DE SANTANA, Curitiba",-25.595629,-49.3430004
11595,"rua judith de freitas granato, PILARZINHO, Curitiba",-25.3834541,-49.2965956
11596,"rua padre alcides zanella, TATUQUARA, Curitiba",-25.5760399,-49.3290951
11597,"rua br-476, BOA VISTA, Curitiba",-25.398083,-49.21505029999999
