ATENDIMENTO_ANO,OCORRENCIA_MES,NATUREZA1_DESCRICAO,ATENDIMENTO_BAIRRO_NOME,n
,1,Alarmes,VILA IZABEL,1
,10,Furto,CENTRO,1
,10,Roubo,NOVO MUNDO,1
,12,Dano,CAJURU,1
,2,Abordagem,CENTRO,1
,2,Poluição visual/ambiental,CIDADE INDUSTRIAL,1
,2,Roubo,SÃO LOURENÇO,1
,3,Apoio,CENTRO,1
,3,Criança perdida/desaparecida,BARREIRINHA,1
,3,Roubo,JARDIM BOTÂNICO,1
,4,Abordagem,CENTRO,22
,4,Abordagem,JARDIM BOTÂNICO,1
,4,Abordagem,REBOUÇAS,1
,4,Abordagem,SÃO FRANCISCO,2
,4,Agressão física/verbal,CENTRO,1
,4,Animais,NOVO MUNDO,1
,4,Apoio,CENTRO,5
,4,Apoio,JARDIM BOTÂNICO,1
,4,Apoio,MERCÊS,1
,4,Apoio,PILARZINHO,1
,4,Apoio,REBOUÇAS,1
,4,Desinteligência,JARDIM BOTÂNICO,1
,4,Desinteligência,SÃO FRANCISCO,1
,4,Furto,ALTO BOQUEIRÃO,1
,4,Furto,FAZENDINHA,1
,4,Orientação,ÁGUA VERDE,1
,4,Orientação,ATUBA,1
,4,Orientação,AUGUSTA,1
,4,Orientação,BACACHERI,1
,4,Orientação,BAIRRO ALTO,1
,4,Orientação,BOQUEIRÃO,1
,4,Orientação,CENTRO,1
,4,Orientação,CIDADE INDUSTRIAL,1
,4,Orientação,PINHEIRINHO,1
,4,Orientação,SANTA FELICIDADE,1
,4,Orientação,TATUQUARA,1
,4,Substância Ilícita,CENTRO,2
,4,Substância Ilícita,TATUQUARA,1
,4,Trânsito,BACACHERI,1
,4,Trânsito,BOQUEIRÃO,1
,4,Trânsito,CAPÃO RASO,1
,4,Trânsito,CENTRO,2
,4,Trânsito,CIDADE INDUSTRIAL,2
,4,Trânsito,FAZENDINHA,1
,4,Trânsito,JARDIM DAS AMÉRICAS,1
,4,Trânsito,PAROLIN,1
,4,Trânsito,PORTÃO,1
,4,Trânsito,SÍTIO CERCADO,1
,4,Vias de fato,CENTRO,1
,4,Violação de Medida Protetiva Lei Maria da Penha,SÍTIO CERCADO,1
,7,Desacato,CENTRO,1
,9,Agressão física/verbal,TATUQUARA,1
,9,Dano,CAJURU,1
---------------,--------------,----------------------------------------------------------------------------------------------------,-----------------------,1
2009,1,Abandono de incapaz,SANTA CÂNDIDA,1
2009,1,Abordagem,BACACHERI,1
2009,1,Abordagem,BOA VISTA,1
2009,1,Abordagem,BOQUEIRÃO,2
2009,1,Abordagem,CAMPINA DO SIQUEIRA,1
2009,1,Abordagem,CAMPO COMPRIDO,1
2009,1,Abordagem,CAPÃO DA IMBUIA,1
2009,1,Abordagem,CAPÃO RASO,1
2009,1,Abordagem,CENTRO,36
2009,1,Abordagem,CENTRO CÍVICO,3
2009,1,Abordagem,CIDADE INDUSTRIAL,4
2009,1,Abordagem,HAUER,1
2009,1,Abordagem,LINDÓIA,1
2009,1,Abordagem,MERCÊS,1
2009,1,Abordagem,PINHEIRINHO,2
2009,1,Abordagem,REBOUÇAS,1
2009,1,Abordagem,SANTA FELICIDADE,2
2009,1,Abordagem,SANTO INÁCIO,1
2009,1,Abordagem,SÃO FRANCISCO,1
2009,1,Abordagem,SÍTIO CERCADO,2
