ATENDIMENTO_BAIRRO_NOME,ATENDIMENTO_ANO,OCORRENCIA_MES,NATUREZA1_DESCRICAO,count
ABRANCHES,2009,1,Animais,5
ABRANCHES,2009,1,Averiguação,1
ABRANCHES,2009,1,Dano,1
ABRANCHES,2009,1,Disparo de arma,1
ABRANCHES,2009,1,Invasão,2
ABRANCHES,2009,1,Perturbação do sossego,3
ABRANCHES,2009,1,Queda de árvore,1
ABRANCHES,2009,2,Animais,2
ABRANCHES,2009,2,Averiguação,1
ABRANCHES,2009,2,Dano,4
ABRANCHES,2009,2,Furto,1
ABRANCHES,2009,2,Invasão,2
ABRANCHES,2009,2,Perturbação do sossego,1
ABRANCHES,2009,3,Perturbação do sossego,3
ABRANCHES,2009,4,Animais,2
ABRANCHES,2009,4,Apoio,1
ABRANCHES,2009,4,Dano,1
ABRANCHES,2009,4,Encaminhamento,1
ABRANCHES,2009,4,Invasão,1
ABRANCHES,2009,4,Perturbação do sossego,2
ABRANCHES,2009,4,Vistoria,1
ABRANCHES,2009,5,AIFU,2
ABRANCHES,2009,5,Animais,1
ABRANCHES,2009,5,Apoio,3
ABRANCHES,2009,5,Dano,1
ABRANCHES,2009,5,Encaminhamento,1
ABRANCHES,2009,5,Perturbação do sossego,5
ABRANCHES,2009,6,Animais,1
ABRANCHES,2009,6,Apoio,2
ABRANCHES,2009,6,Atitude suspeita,1
ABRANCHES,2009,6,Dano,1
ABRANCHES,2009,6,Invasão,1
ABRANCHES,2009,6,Perturbação do sossego,6
ABRANCHES,2009,7,AIFU,1
ABRANCHES,2009,7,Animais,2
ABRANCHES,2009,7,Apoio,2
ABRANCHES,2009,7,Invasão,1
ABRANCHES,2009,7,Perturbação do sossego,3
ABRANCHES,2009,8,Abordagem,1
ABRANCHES,2009,8,Animais,2
ABRANCHES,2009,8,Dano,3
ABRANCHES,2009,8,Incêndio,1
ABRANCHES,2009,8,Invasão,1
ABRANCHES,2009,8,Perturbação do sossego,3
ABRANCHES,2009,8,Roubo,2
ABRANCHES,2009,8,Trânsito,1
ABRANCHES,2009,9,Alarmes,2
ABRANCHES,2009,9,Animais,2
ABRANCHES,2009,9,Apoio,1
ABRANCHES,2009,9,Deslizamento,1
ABRANCHES,2009,9,Invasão,1
ABRANCHES,2009,9,Perturbação do sossego,2
ABRANCHES,2009,10,Animais,2
ABRANCHES,2009,10,Apoio,2
ABRANCHES,2009,10,Dano,2
ABRANCHES,2009,10,Destelhamento,1
ABRANCHES,2009,10,Perturbação do sossego,1
ABRANCHES,2009,11,Alagamento,1
ABRANCHES,2009,11,Alarmes,1
ABRANCHES,2009,11,Atitude suspeita,1
ABRANCHES,2009,11,Averiguação,1
ABRANCHES,2009,11,Dano,2
ABRANCHES,2009,11,Perturbação do sossego,5
ABRANCHES,2009,12,Animais,2
ABRANCHES,2009,12,Atitude suspeita,1
ABRANCHES,2009,12,Crime ambiental,1
ABRANCHES,2009,12,Dano,2
ABRANCHES,2009,12,Perturbação do sossego,4
ABRANCHES,2009,12,Roubo,1
ABRANCHES,2010,1,Alagamento,2
ABRANCHES,2010,1,Ameaça,1
ABRANCHES,2010,1,Dano,2
ABRANCHES,2010,1,Encaminhamento,1
ABRANCHES,2010,1,Perturbação do sossego,5
ABRANCHES,2010,1,Queda de árvore,1
ABRANCHES,2010,2,Apoio,1
ABRANCHES,2010,2,Dano,4
ABRANCHES,2010,2,Furto,1
ABRANCHES,2010,2,Perturbação do sossego,5
ABRANCHES,2010,2,Queda de árvore,1
ABRANCHES,2010,2,Trânsito,2
ABRANCHES,2010,3,Ameaça,1
ABRANCHES,2010,3,Animais,1
ABRANCHES,2010,3,Apoio,2
ABRANCHES,2010,3,Dano,2
ABRANCHES,2010,3,Perturbação do sossego,3
ABRANCHES,2010,3,Roubo,1
ABRANCHES,2010,4,Animais,1
ABRANCHES,2010,4,Apoio,1
ABRANCHES,2010,4,Averiguação,1
ABRANCHES,2010,4,Dano,1
ABRANCHES,2010,4,Furto,1
ABRANCHES,2010,4,Perturbação do sossego,2
ABRANCHES,2010,4,Queima a céu aberto,1
ABRANCHES,2010,5,Dano,1
ABRANCHES,2010,5,Deslizamento,1
ABRANCHES,2010,5,Perturbação do sossego,5
ABRANCHES,2010,6,Apoio,2
ABRANCHES,2010,6,Disparo de arma,1
ABRANCHES,2010,6,Invasão,2
ABRANCHES,2010,6,Perturbação do sossego,4
ABRANCHES,2010,6,Queda de árvore,1
ABRANCHES,2010,6,Substância Ilícita,1
ABRANCHES,2010,7,Apoio,2
ABRANCHES,2010,7,Dano,1
ABRANCHES,2010,7,Perturbação do sossego,1
ABRANCHES,2010,8,Animais,2
ABRANCHES,2010,8,Atitude suspeita,1
ABRANCHES,2010,8,Dano,2
ABRANCHES,2010,8,Perturbação do sossego,6
ABRANCHES,2010,9,Alarmes,2
ABRANCHES,2010,9,Animais,1
ABRANCHES,2010,9,Atitude suspeita,1
ABRANCHES,2010,9,Embriaguez,1
ABRANCHES,2010,9,Perturbação do sossego,1
ABRANCHES,2010,9,Trânsito,1
ABRANCHES,2010,10,Alarmes,1
ABRANCHES,2010,10,Animais,4
ABRANCHES,2010,10,Apoio,1
ABRANCHES,2010,10,Perturbação do sossego,2
ABRANCHES,2010,10,Substância Ilícita,1
ABRANCHES,2010,10,Vistoria,2
ABRANCHES,2010,11,Alarmes,1
ABRANCHES,2010,11,Apoio,1
ABRANCHES,2010,11,Invasão,1
ABRANCHES,2010,11,Perturbação do sossego,1
ABRANCHES,2010,11,Retirada de invasão,1
ABRANCHES,2010,11,Risco de desabamento / desmoronamento,1
ABRANCHES,2010,11,Trânsito,1
ABRANCHES,2010,12,Animais,4
ABRANCHES,2010,12,Atitude suspeita,1
ABRANCHES,2010,12,Dano,3
ABRANCHES,2010,12,Desabamento,1
ABRANCHES,2010,12,Perturbação do sossego,4
ABRANCHES,2010,12,Trânsito,1
ABRANCHES,2010,12,Vias de fato,1
ABRANCHES,2011,1,Abandono de incapaz,1
ABRANCHES,2011,1,Alagamento,1
ABRANCHES,2011,1,Apoio,1
ABRANCHES,2011,1,Perturbação do sossego,3
ABRANCHES,2011,1,Roubo,1
ABRANCHES,2011,1,Substância Ilícita,2
ABRANCHES,2011,2,Alagamento,5
ABRANCHES,2011,2,Atitude suspeita,1
ABRANCHES,2011,2,Dano,1
ABRANCHES,2011,2,Depósito irregular,1
ABRANCHES,2011,2,Desabamento,1
ABRANCHES,2011,2,Perturbação do sossego,4
ABRANCHES,2011,2,Risco de acidente/à vida (Defesa Civil),1
ABRANCHES,2011,2,Risco de desabamento / desmoronamento,2
ABRANCHES,2011,3,Animais,1
ABRANCHES,2011,3,Apoio,1
ABRANCHES,2011,3,Invasão,1
ABRANCHES,2011,3,Queima a céu aberto,1
ABRANCHES,2011,3,Substância Lícita,1
ABRANCHES,2011,4,Alagamento,4
ABRANCHES,2011,4,Ameaça,1
ABRANCHES,2011,4,Apoio,1
ABRANCHES,2011,4,Paciente/usuário alterado,1
ABRANCHES,2011,5,Agressão física/verbal,1
ABRANCHES,2011,5,Animais,1
ABRANCHES,2011,5,Apoio,2
ABRANCHES,2011,5,Dano,1
ABRANCHES,2011,5,Perturbação do sossego,1
ABRANCHES,2011,5,Ronda,1
ABRANCHES,2011,6,Apoio,2
ABRANCHES,2011,6,Queda de árvore,1
ABRANCHES,2011,6,Situação de risco,1
ABRANCHES,2011,7,Abordagem,1
ABRANCHES,2011,7,Animais,1
ABRANCHES,2011,7,Apoio,1
ABRANCHES,2011,7,Dano,2
ABRANCHES,2011,7,Invasão,1
ABRANCHES,2011,7,Orientação,1
ABRANCHES,2011,7,Trânsito,1
ABRANCHES,2011,7,Vistoria,1
ABRANCHES,2011,8,Animais,1
ABRANCHES,2011,8,Crime ambiental,1
ABRANCHES,2011,8,Trânsito,1
ABRANCHES,2011,9,Animais,2
ABRANCHES,2011,9,Apoio,1
ABRANCHES,2011,9,Invasão,2
ABRANCHES,2011,9,Ronda,1
ABRANCHES,2011,10,Animais,3
ABRANCHES,2011,10,Invasão,4
ABRANCHES,2011,10,Perturbação do sossego,1
ABRANCHES,2011,11,Abordagem,1
ABRANCHES,2011,11,Alarmes,1
ABRANCHES,2011,11,Ameaça,1
ABRANCHES,2011,11,Apoio,1
ABRANCHES,2011,11,Dano,2
ABRANCHES,2011,11,Furto,1
ABRANCHES,2011,12,Alarmes,1
ABRANCHES,2011,12,Animais,1
ABRANCHES,2011,12,Dano,2
ABRANCHES,2012,1,Animais,5
ABRANCHES,2012,1,Apoio,2
ABRANCHES,2012,1,Dano,5
ABRANCHES,2012,1,Embriaguez,1
ABRANCHES,2012,1,Incêndio,1
ABRANCHES,2012,1,Invasão,1
ABRANCHES,2012,1,Queda de árvore,1
ABRANCHES,2012,1,Substância Ilícita,1
ABRANCHES,2012,2,Abordagem,2
ABRANCHES,2012,2,Animais,2
ABRANCHES,2012,2,Apoio,2
ABRANCHES,2012,2,Destelhamento,7
ABRANCHES,2012,2,Furto,1
ABRANCHES,2012,2,Invasão,1
ABRANCHES,2012,2,Substância Ilícita,1
ABRANCHES,2012,3,Animais,1
ABRANCHES,2012,3,Apoio,1
ABRANCHES,2012,3,Dano,2
ABRANCHES,2012,3,Invasão,1
ABRANCHES,2012,3,Risco de desabamento / desmoronamento,1
ABRANCHES,2012,4,Abordagem,1
ABRANCHES,2012,4,Apoio,2
ABRANCHES,2012,4,Dano,1
ABRANCHES,2012,4,Invasão,1
ABRANCHES,2012,4,Perturbação do sossego,1
ABRANCHES,2012,4,Substância Ilícita,2
ABRANCHES,2012,5,Abordagem,1
ABRANCHES,2012,5,Ameaça,1
ABRANCHES,2012,5,Animais,2
ABRANCHES,2012,5,Avaria em Equipamento/Patrimônio (não intencional),1
ABRANCHES,2012,5,Conduta inconveniente,1
ABRANCHES,2012,5,Dano,1
ABRANCHES,2012,5,Invasão,1
ABRANCHES,2012,5,Veículo,1
ABRANCHES,2012,6,Animais,1
ABRANCHES,2012,6,Apoio,1
ABRANCHES,2012,6,Atitude suspeita,1
ABRANCHES,2012,6,Dano,1
ABRANCHES,2012,6,Invasão,1
ABRANCHES,2012,6,Manifestação,1
ABRANCHES,2012,6,Paciente/usuário alterado,1
ABRANCHES,2012,7,Apoio,2
ABRANCHES,2012,7,Dano,4
ABRANCHES,2012,7,Paciente/usuário alterado,1
ABRANCHES,2012,7,Substância Ilícita,2
ABRANCHES,2012,7,Trânsito,1
ABRANCHES,2012,8,Agressão física/verbal,1
ABRANCHES,2012,8,Animais,2
ABRANCHES,2012,8,Apoio,2
ABRANCHES,2012,8,Atitude suspeita,2
